[Gene72_UP] -> [Gene2_Down] ( confidence : 0.6621621621621622 | support : 0.49 ),
[Gene38_Down] -> [Gene72_UP] ( confidence : 0.6986301369863014 | support : 0.51 ),
[Gene72_UP] -> [Gene38_Down] ( confidence : 0.6891891891891891 | support : 0.51 ),
[Gene96_Down] -> [Gene59_UP] ( confidence : 0.8591549295774648 | support : 0.61 ),
[Gene59_UP] -> [Gene96_Down] ( confidence : 0.8026315789473685 | support : 0.61 ),
[Gene82_Down] -> [Gene6_UP] ( confidence : 0.6617647058823529 | support : 0.45 ),
[Gene6_UP] -> [Gene82_Down] ( confidence : 0.6818181818181818 | support : 0.45 ),
[Gene7_Down] -> [Gene38_Down] ( confidence : 0.7843137254901961 | support : 0.4 ),
[Gene38_Down] -> [Gene7_Down] ( confidence : 0.547945205479452 | support : 0.4 ),
[Gene55_UP] -> [Gene1_UP] ( confidence : 0.7454545454545455 | support : 0.41 ),
[Gene1_UP] -> [Gene55_UP] ( confidence : 0.5942028985507246 | support : 0.41 ),
[Gene76_Down] -> [Gene72_UP] ( confidence : 0.6935483870967742 | support : 0.43 ),
[Gene72_UP] -> [Gene76_Down] ( confidence : 0.581081081081081 | support : 0.43 ),
[Gene82_Down] -> [Gene2_Down] ( confidence : 0.6323529411764706 | support : 0.43 ),
[Gene2_Down] -> [Gene82_Down] ( confidence : 0.6515151515151515 | support : 0.43 ),
[Gene54_UP] -> [Gene74_Down] ( confidence : 0.5970149253731343 | support : 0.4 ),
[Gene74_Down] -> [Gene54_UP] ( confidence : 0.7547169811320755 | support : 0.4 ),
[Gene80_Down] -> [Gene94_UP] ( confidence : 0.625 | support : 0.4 ),
[Gene94_UP] -> [Gene80_Down] ( confidence : 0.6451612903225806 | support : 0.4 ),
[Gene34_Down] -> [Gene47_UP] ( confidence : 0.7142857142857143 | support : 0.4 ),
[Gene47_UP] -> [Gene34_Down] ( confidence : 0.6060606060606061 | support : 0.4 ),
[Gene88_Down] -> [Gene28_Down] ( confidence : 0.7323943661971831 | support : 0.52 ),
[Gene28_Down] -> [Gene88_Down] ( confidence : 0.7323943661971831 | support : 0.52 ),
[Gene87_UP] -> [Gene24_Down] ( confidence : 0.6417910447761194 | support : 0.43 ),
[Gene24_Down] -> [Gene87_UP] ( confidence : 0.6825396825396826 | support : 0.43 ),
[Gene89_UP] -> [Gene72_UP] ( confidence : 0.7796610169491526 | support : 0.46 ),
[Gene72_UP] -> [Gene89_UP] ( confidence : 0.6216216216216216 | support : 0.46 ),
[Gene94_UP] -> [Gene67_UP] ( confidence : 0.6451612903225806 | support : 0.4 ),
[Gene67_UP] -> [Gene94_UP] ( confidence : 0.6451612903225806 | support : 0.4 ),
[Gene28_Down] -> [Gene55_UP] ( confidence : 0.5633802816901409 | support : 0.4 ),
[Gene55_UP] -> [Gene28_Down] ( confidence : 0.7272727272727273 | support : 0.4 ),
[Gene37_UP] -> [Gene52_Down] ( confidence : 0.7142857142857143 | support : 0.4 ),
[Gene52_Down] -> [Gene37_UP] ( confidence : 0.6153846153846154 | support : 0.4 ),
[Gene3_UP] -> [Gene38_Down] ( confidence : 0.8 | support : 0.4 ),
[Gene38_Down] -> [Gene3_UP] ( confidence : 0.547945205479452 | support : 0.4 ),
[Gene88_Down] -> [Gene47_UP] ( confidence : 0.6901408450704225 | support : 0.49 ),
[Gene47_UP] -> [Gene88_Down] ( confidence : 0.7424242424242424 | support : 0.49 ),
[Gene38_Down] -> [Gene94_UP] ( confidence : 0.6986301369863014 | support : 0.51 ),
[Gene94_UP] -> [Gene38_Down] ( confidence : 0.8225806451612904 | support : 0.51 ),
[Gene99_UP] -> [Gene59_UP] ( confidence : 0.8035714285714286 | support : 0.45 ),
[Gene59_UP] -> [Gene99_UP] ( confidence : 0.5921052631578947 | support : 0.45 ),
[Gene38_Down] -> [Gene24_Down] ( confidence : 0.6027397260273972 | support : 0.44 ),
[Gene24_Down] -> [Gene38_Down] ( confidence : 0.6984126984126984 | support : 0.44 ),
[Gene88_Down] -> [Gene41_Down] ( confidence : 0.7323943661971831 | support : 0.52 ),
[Gene41_Down] -> [Gene88_Down] ( confidence : 0.8125 | support : 0.52 ),
[Gene2_Down] -> [Gene69_Down] ( confidence : 0.6666666666666666 | support : 0.44 ),
[Gene69_Down] -> [Gene2_Down] ( confidence : 0.7096774193548387 | support : 0.44 ),
[Gene88_Down] -> [Gene69_Down] ( confidence : 0.6901408450704225 | support : 0.49 ),
[Gene69_Down] -> [Gene88_Down] ( confidence : 0.7903225806451613 | support : 0.49 ),
[Gene10_Down] -> [Gene24_Down] ( confidence : 0.6142857142857143 | support : 0.43 ),
[Gene24_Down] -> [Gene10_Down] ( confidence : 0.6825396825396826 | support : 0.43 ),
[Gene10_Down] -> [Gene94_UP] ( confidence : 0.7142857142857143 | support : 0.5 ),
[Gene94_UP] -> [Gene10_Down] ( confidence : 0.8064516129032258 | support : 0.5 ),
[Gene87_UP] -> [Gene65_Down] ( confidence : 0.6417910447761194 | support : 0.43 ),
[Gene65_Down] -> [Gene87_UP] ( confidence : 0.7049180327868853 | support : 0.43 ),
[Gene37_UP] -> [Gene54_UP] ( confidence : 0.7142857142857143 | support : 0.4 ),
[Gene54_UP] -> [Gene37_UP] ( confidence : 0.5970149253731343 | support : 0.4 ),
[Gene59_UP] -> [Gene8_UP] ( confidence : 0.6447368421052632 | support : 0.49 ),
[Gene8_UP] -> [Gene59_UP] ( confidence : 0.7424242424242424 | support : 0.49 ),
[Gene58_Down] -> [Gene47_UP] ( confidence : 0.6875 | support : 0.44 ),
[Gene47_UP] -> [Gene58_Down] ( confidence : 0.6666666666666666 | support : 0.44 ),
[Gene46_Down] -> [Gene59_UP] ( confidence : 0.7692307692307693 | support : 0.4 ),
[Gene59_UP] -> [Gene46_Down] ( confidence : 0.5263157894736842 | support : 0.4 ),
[Gene38_Down] -> [Gene65_Down] ( confidence : 0.684931506849315 | support : 0.5 ),
